MAIN 10 SKUS,Orders,Order Quantity,Sales Total,Cost Total,Shipping Total,Discounts Total,Refunds Total,Invoice Total,Profit Total,Bollards Per Order,AOV,Sales AOV,Profit Per Order,Refund %,Avg Shipping,Avg Discount %
RPCS6040+ESV60,101.7,383,"$231,165.60","$157,999.04","$32,522.44","$7,839.31","-$1,815.00","$254,033.73","$63,512.25",3.8,"$2,497.87","$2,273.01",$624.51,-0.79%,$319.79,3.39%
RPCS4040+ESV40,116.8,499,"$219,679.80","$134,272.69","$38,185.37","$4,966.60",$0.00,"$252,957.23","$80,440.51",4.3,"$2,165.73","$1,880.82",$688.70,0.00%,$326.93,2.26%
RPSS4040+ESV40,49.8,297,"$192,051.01","$137,416.92","$15,383.68","$4,857.62","-$2,375.88","$200,201.19","$47,400.59",6.0,"$4,020.10","$3,856.45",$951.82,-1.24%,$308.91,2.53%
MRCS4040-Y,20,209,"$149,525.00","$92,915.08","$9,143.57","$19,133.32",$0.00,"$139,535.25","$37,476.60",10.5,"$6,976.76","$7,476.25","$1,873.83",0.00%,$457.18,12.80%
MRSS4040,29.6,125,"$120,317.47","$77,870.83","$8,828.59","$2,697.45","-$1,963.40","$124,485.21","$37,785.79",4.2,"$4,205.58","$4,064.78","$1,276.55",-1.63%,$298.26,2.24%
RPSS6040+ESV60,19,106,"$95,680.00","$68,822.98","$6,715.46","$2,409.83",-$894.95,"$99,090.68","$23,552.24",5.6,"$5,215.30","$5,035.79","$1,239.59",-0.94%,$353.45,2.52%
BSSV604036,5,92,"$48,270.88","$37,407.58","$4,332.55","$2,062.35",$0.00,"$50,541.08","$8,800.95",18.4,"$10,108.22","$9,654.18","$1,760.19",0.00%,$866.51,4.27%
BSSV404036,9.6,121,"$37,781.49","$26,499.00","$3,301.89","$2,641.23","-$1,199.72","$37,242.43","$7,441.54",12.6,"$3,879.42","$3,935.57",$775.16,-3.18%,$343.95,6.99%
BCSV604036,2.8,26,"$7,566.00","$5,421.96","$1,001.90",$174.60,$0.00,"$8,393.30","$1,969.44",9.3,"$2,997.61","$2,702.14",$703.37,0.00%,$357.82,2.31%
BCSV404036,1.3,17,"$3,201.35","$2,300.96",$576.69,$240.44,$0.00,"$3,537.60",$659.95,13.1,"$2,721.23","$2,462.58",$507.65,0.00%,$443.61,7.51%
MAIN 10 TOTAL,355.6,1875,"$1,105,238.60","$740,927.04","$119,992.14","$47,022.75","-$8,248.95","$1,170,017.70","$309,039.86",5.3,"$44,787.82","$43,341.57","$10,401.37",-0.75%,"$4,076.40",4.25%